         time tiltx_bot_... 
 1.262898e-01 -2.373083e-03 
 1.266128e-01 -2.373586e-03 
 1.269358e-01 -2.374088e-03 
 1.272588e-01 -2.374589e-03 
 1.275818e-01 -2.375090e-03 
 1.279048e-01 -2.375590e-03 
 1.282278e-01 -2.376089e-03 
 1.285508e-01 -2.376587e-03 
 1.288738e-01 -2.377084e-03 
 1.291968e-01 -2.377583e-03 
 1.295198e-01 -2.378083e-03 
 1.298428e-01 -2.378584e-03 
 1.301657e-01 -2.379084e-03 
 1.304887e-01 -2.379584e-03 
 1.308117e-01 -2.380085e-03 
 1.311347e-01 -2.380587e-03 
 1.314577e-01 -2.381088e-03 
 1.317807e-01 -2.381588e-03 
 1.321037e-01 -2.382086e-03 
 1.324267e-01 -2.382584e-03 
 1.327497e-01 -2.383082e-03 
 1.330727e-01 -2.383581e-03 
 1.333957e-01 -2.384079e-03 
 1.337187e-01 -2.384578e-03 
 1.340417e-01 -2.385079e-03 
 1.343646e-01 -2.385581e-03 
 1.346876e-01 -2.386085e-03 
 1.350106e-01 -2.386591e-03 
 1.353336e-01 -2.387096e-03 
 1.356566e-01 -2.387601e-03 
 1.359796e-01 -2.388107e-03 
 1.363026e-01 -2.388613e-03 
 1.366256e-01 -2.389119e-03 
 1.369486e-01 -2.389623e-03 
 1.372716e-01 -2.390127e-03 
 1.375946e-01 -2.390631e-03 
 1.379176e-01 -2.391135e-03 
 1.382405e-01 -2.391641e-03 
 1.385635e-01 -2.392147e-03 
 1.388865e-01 -2.392655e-03 
 1.392095e-01 -2.393164e-03 
 1.395325e-01 -2.393676e-03 
 1.398555e-01 -2.394190e-03 
 1.401785e-01 -2.394705e-03 
 1.405015e-01 -2.395221e-03 
 1.408245e-01 -2.395737e-03 
 1.411475e-01 -2.396256e-03 
 1.414705e-01 -2.396776e-03 
 1.417935e-01 -2.397298e-03 
 1.421164e-01 -2.397821e-03 
 1.424394e-01 -2.398346e-03 
 1.427624e-01 -2.398873e-03 
 1.430854e-01 -2.399405e-03 
 1.434084e-01 -2.399941e-03 
 1.437314e-01 -2.400480e-03 
 1.440544e-01 -2.401023e-03 
 1.443774e-01 -2.401570e-03 
 1.447004e-01 -2.402121e-03 
 1.450234e-01 -2.402676e-03 
 1.453464e-01 -2.403233e-03 
 1.456694e-01 -2.403792e-03 
 1.459924e-01 -2.404352e-03 
 1.463153e-01 -2.404915e-03 
 1.466383e-01 -2.405479e-03 
 1.469613e-01 -2.406046e-03 
 1.472843e-01 -2.406615e-03 
 1.476073e-01 -2.407185e-03 
 1.479303e-01 -2.407757e-03 
 1.482533e-01 -2.408331e-03 
 1.485763e-01 -2.408908e-03 
 1.488993e-01 -2.409485e-03 
 1.492223e-01 -2.410063e-03 
 1.495453e-01 -2.410640e-03 
 1.498683e-01 -2.411218e-03 
 1.501912e-01 -2.411794e-03 
 1.505142e-01 -2.412368e-03 
 1.508372e-01 -2.412938e-03 
 1.511602e-01 -2.413506e-03 
 1.514832e-01 -2.414072e-03 
 1.518062e-01 -2.414636e-03 
 1.521292e-01 -2.415197e-03 
 1.524522e-01 -2.415755e-03 
 1.527752e-01 -2.416311e-03 
 1.530982e-01 -2.416865e-03 
 1.534212e-01 -2.417416e-03 
 1.537442e-01 -2.417965e-03 
 1.540672e-01 -2.418510e-03 
 1.543901e-01 -2.419050e-03 
 1.547131e-01 -2.419587e-03 
 1.550361e-01 -2.420118e-03 
 1.553591e-01 -2.420646e-03 
 1.556821e-01 -2.421167e-03 
 1.560051e-01 -2.421682e-03 
 1.563281e-01 -2.422192e-03 
