         time tiltx_bot_... 
 1.838388e+00  6.549984e-03 
 1.838792e+00  7.456345e-03 
 1.839196e+00  8.315712e-03 
 1.839600e+00  9.135014e-03 
 1.840004e+00  9.915897e-03 
 1.840407e+00  1.065432e-02 
 1.840811e+00  1.134997e-02 
 1.841215e+00  1.200798e-02 
 1.841619e+00  1.263616e-02 
 1.842023e+00  1.324292e-02 
 1.842427e+00  1.384035e-02 
 1.842830e+00  1.442193e-02 
 1.843234e+00  1.498945e-02 
 1.843638e+00  1.552713e-02 
 1.844042e+00  1.603030e-02 
 1.844446e+00  1.648379e-02 
 1.844850e+00  1.688030e-02 
 1.845254e+00  1.720914e-02 
 1.845657e+00  1.746344e-02 
 1.846061e+00  1.763847e-02 
 1.846465e+00  1.772493e-02 
 1.846869e+00  1.771768e-02 
 1.847273e+00  1.760593e-02 
 1.847677e+00  1.739827e-02 
 1.848080e+00  1.711035e-02 
 1.848484e+00  1.675149e-02 
 1.848888e+00  1.634451e-02 
 1.849292e+00  1.591429e-02 
 1.849696e+00  1.549690e-02 
 1.850100e+00  1.511607e-02 
 1.850504e+00  1.479316e-02 
 1.850907e+00  1.455091e-02 
 1.851311e+00  1.440564e-02 
 1.851715e+00  1.435596e-02 
 1.852119e+00  1.440204e-02 
 1.852523e+00  1.454215e-02 
 1.852927e+00  1.476679e-02 
 1.853330e+00  1.505627e-02 
 1.853734e+00  1.539455e-02 
 1.854138e+00  1.575709e-02 
 1.854542e+00  1.611570e-02 
 1.854946e+00  1.643950e-02 
 1.855350e+00  1.670396e-02 
 1.855754e+00  1.688772e-02 
 1.856157e+00  1.698498e-02 
 1.856561e+00  1.699687e-02 
 1.856965e+00  1.693806e-02 
 1.857369e+00  1.682929e-02 
 1.857773e+00  1.669866e-02 
 1.858177e+00  1.657145e-02 
 1.858580e+00  1.646415e-02 
 1.858984e+00  1.639173e-02 
 1.859388e+00  1.635660e-02 
 1.859792e+00  1.635448e-02 
 1.860196e+00  1.638922e-02 
 1.860600e+00  1.646266e-02 
 1.861004e+00  1.658160e-02 
 1.861407e+00  1.674484e-02 
 1.861811e+00  1.695705e-02 
 1.862215e+00  1.721947e-02 
 1.862619e+00  1.752979e-02 
 1.863023e+00  1.789096e-02 
 1.863427e+00  1.830235e-02 
 1.863830e+00  1.875601e-02 
 1.864234e+00  1.923276e-02 
 1.864638e+00  1.971088e-02 
 1.865042e+00  2.017563e-02 
 1.865446e+00  2.060443e-02 
 1.865850e+00  2.098135e-02 
 1.866254e+00  2.129441e-02 
 1.866657e+00  2.153708e-02 
 1.867061e+00  2.170751e-02 
 1.867465e+00  2.181014e-02 
 1.867869e+00  2.185644e-02 
 1.868273e+00  2.185390e-02 
 1.868677e+00  2.181187e-02 
 1.869080e+00  2.174818e-02 
 1.869484e+00  2.168224e-02 
 1.869888e+00  2.163516e-02 
 1.870292e+00  2.162863e-02 
 1.870696e+00  2.167011e-02 
 1.871100e+00  2.176526e-02 
 1.871504e+00  2.190582e-02 
 1.871907e+00  2.208700e-02 
 1.872311e+00  2.229783e-02 
 1.872715e+00  2.252169e-02 
 1.873119e+00  2.274461e-02 
