         time bulge_top_... 
 1.610538e-01  4.764172e-02 
 1.614577e-01  4.614604e-02 
 1.618615e-01  4.336901e-02 
 1.622654e-01  4.123441e-02 
 1.626692e-01  3.829350e-02 
 1.630730e-01  3.650228e-02 
 1.634769e-01  3.455496e-02 
 1.638807e-01  3.331205e-02 
 1.642846e-01  3.207035e-02 
 1.646884e-01  3.117114e-02 
 1.650923e-01  3.107209e-02 
 1.654961e-01  3.056912e-02 
 1.659000e-01  3.003086e-02 
 1.663038e-01  2.914587e-02 
 1.667077e-01  2.894387e-02 
 1.671115e-01  2.920766e-02 
 1.675154e-01  3.008213e-02 
 1.679192e-01  3.138253e-02 
 1.683230e-01  3.241935e-02 
 1.687269e-01  3.259821e-02 
 1.691307e-01  3.211254e-02 
 1.695346e-01  3.055941e-02 
 1.699384e-01  2.826561e-02 
 1.703423e-01  2.492458e-02 
 1.707461e-01  2.185336e-02 
 1.711500e-01  1.905276e-02 
 1.715538e-01  1.668270e-02 
 1.719577e-01  1.462752e-02 
 1.723615e-01  1.232502e-02 
 1.727654e-01  9.528936e-03 
 1.731692e-01  6.258483e-03 
 1.735730e-01  2.974318e-03 
 1.739769e-01 -5.487054e-04 
 1.743807e-01 -3.901724e-03 
 1.747846e-01 -6.636552e-03 
 1.751884e-01 -8.260954e-03 
 1.755923e-01 -9.363912e-03 
 1.759961e-01 -1.004110e-02 
 1.764000e-01 -1.060089e-02 
 1.768038e-01 -1.074049e-02 
 1.772077e-01 -1.024312e-02 
 1.776115e-01 -8.465471e-03 
 1.780154e-01 -5.332909e-03 
 1.784192e-01 -1.416803e-03 
 1.788230e-01  3.023911e-03 
 1.792269e-01  7.551968e-03 
 1.796307e-01  1.155775e-02 
 1.800346e-01  1.433848e-02 
 1.804384e-01  1.592310e-02 
 1.808423e-01  1.621841e-02 
 1.812461e-01  1.559704e-02 
 1.816500e-01  1.403963e-02 
 1.820538e-01  1.166382e-02 
 1.824577e-01  8.425740e-03 
 1.828615e-01  4.902716e-03 
 1.832654e-01  1.879843e-03 
 1.836692e-01 -1.395779e-03 
 1.840730e-01 -4.067506e-03 
 1.844769e-01 -6.822897e-03 
 1.848807e-01 -9.271494e-03 
 1.852846e-01 -1.131347e-02 
 1.856884e-01 -1.249501e-02 
 1.860923e-01 -1.221825e-02 
 1.864961e-01 -1.037803e-02 
 1.869000e-01 -6.778019e-03 
 1.873038e-01 -1.428091e-03 
 1.877077e-01  4.869543e-03 
 1.881115e-01  1.118126e-02 
 1.885154e-01  1.666457e-02 
 1.889192e-01  2.063804e-02 
 1.893230e-01  2.347124e-02 
 1.897269e-01  2.450371e-02 
 1.901307e-01  2.378598e-02 
 1.905346e-01  2.141912e-02 
 1.909384e-01  1.763723e-02 
 1.913423e-01  1.341640e-02 
 1.917461e-01  9.503840e-03 
 1.921500e-01  6.379830e-03 
 1.925538e-01  4.141687e-03 
 1.929577e-01  2.918666e-03 
 1.933615e-01  2.753969e-03 
 1.937654e-01  2.883227e-03 
 1.941692e-01  3.538858e-03 
 1.945730e-01  4.025816e-03 
 1.949769e-01  4.484839e-03 
 1.953807e-01  4.945739e-03 
 1.957846e-01  5.361140e-03 
 1.961884e-01  5.581335e-03 
 1.965923e-01  4.663037e-03 
 1.969961e-01  2.380559e-03 
 1.974000e-01 -8.010023e-04 
 1.978038e-01 -4.320920e-03 
 1.982077e-01 -7.577448e-03 
 1.986115e-01 -1.017140e-02 
 1.990154e-01 -1.155007e-02 
 1.994192e-01 -1.158755e-02 
 1.998230e-01 -1.058125e-02 
 2.002269e-01 -9.090017e-03 
 2.006307e-01 -8.159716e-03 
 2.010346e-01 -8.327444e-03 
 2.014384e-01 -9.541200e-03 
 2.018423e-01 -1.100760e-02 
 2.022461e-01 -1.212501e-02 
 2.026500e-01 -1.265153e-02 
 2.030538e-01 -1.245452e-02 
 2.034577e-01 -1.178306e-02 
 2.038615e-01 -1.086649e-02 
 2.042654e-01 -1.022482e-02 
 2.046692e-01 -9.660389e-03 
 2.050730e-01 -9.109167e-03 
 2.054769e-01 -8.129720e-03 
 2.058807e-01 -6.207282e-03 
 2.062846e-01 -3.728565e-03 
 2.066884e-01 -1.235478e-03 
 2.070923e-01  1.355870e-03 
 2.074961e-01  4.081331e-03 
 2.079000e-01  7.025828e-03 
 2.083038e-01  1.030908e-02 
 2.087077e-01  1.384048e-02 
 2.091115e-01  1.706602e-02 
 2.095153e-01  1.954866e-02 
 2.099192e-01  2.112823e-02 
 2.103230e-01  2.137578e-02 
 2.107269e-01  2.022282e-02 
 2.111307e-01  1.784994e-02 
 2.115346e-01  1.489642e-02 
 2.119384e-01  1.214308e-02 
 2.123423e-01  9.773287e-03 
 2.127461e-01  7.612440e-03 
 2.131500e-01  5.923468e-03 
 2.135538e-01  4.447719e-03 
 2.139577e-01  4.017182e-03 
 2.143615e-01  4.779901e-03 
 2.147653e-01  7.186341e-03 
 2.151692e-01  1.110210e-02 
 2.155730e-01  1.655916e-02 
 2.159769e-01  2.351573e-02 
 2.163807e-01  3.099872e-02 
 2.167846e-01  3.770398e-02 
 2.171884e-01  4.262339e-02 
 2.175923e-01  4.473912e-02 
 2.179961e-01  4.459595e-02 
 2.184000e-01  4.323191e-02 
 2.188038e-01  4.099528e-02 
 2.192077e-01  3.838845e-02 
 2.196115e-01  3.569324e-02 
 2.200153e-01  3.371449e-02 
 2.204192e-01  3.223371e-02 
 2.208230e-01  3.118286e-02 
 2.212269e-01  3.026597e-02 
 2.216307e-01  2.898310e-02 
 2.220346e-01  2.774489e-02 
 2.224384e-01  2.626251e-02 
 2.228423e-01  2.463093e-02 
 2.232461e-01  2.348169e-02 
 2.236500e-01  2.260341e-02 
 2.240538e-01  2.197606e-02 
 2.244577e-01  2.083347e-02 
 2.248615e-01  1.905378e-02 
 2.252653e-01  1.633966e-02 
 2.256692e-01  1.291052e-02 
 2.260730e-01  9.234512e-03 
