d_ctrl_mm,F_base_kN,F_appl_kN,KE_frac,maxvel_mms
13.8635,1.9699,2.195,0.0,0.0912
13.8951,1.9664,2.1897,0.0,0.0995
13.9264,1.9696,2.1948,0.0,0.088
13.9538,1.9674,2.1888,0.0,0.0998
13.9799,1.9662,2.1905,0.0,0.0943
14.0105,1.9663,2.1871,0.0,0.0999
14.0401,1.9663,2.1921,0.0,0.1042
14.0701,1.9644,2.1854,0.0,0.0936
14.1002,1.9583,2.1858,0.0,0.1025
14.1313,1.9624,2.1905,0.0,0.0946
14.1601,1.9673,2.1963,0.0,0.0974
14.1821,1.9691,2.184,0.0,0.0996
14.2163,1.9607,2.1904,0.0,0.098
14.2418,1.9596,2.196,0.0,0.101
14.277,1.963,2.1954,0.0,0.1051
14.3118,1.9648,2.1993,0.0,0.0965
14.3436,1.9684,2.2023,0.0,0.099
14.3738,1.9693,2.2027,0.0,0.0964
14.4077,1.9802,2.2071,0.0,0.096
14.4388,1.9796,2.2073,0.0,0.1011
14.4701,1.9813,2.2133,0.0,0.1024
14.4994,1.9798,2.2018,0.0,0.0987
14.5286,1.9735,2.2069,0.0,0.0928
14.5615,1.983,2.2064,0.0,0.1009
14.5943,1.9814,2.206,0.0,0.0908
14.6228,1.9842,2.2123,0.0,0.1008
14.6532,1.9874,2.2156,0.0,0.0981
14.6857,1.9857,2.2185,0.0,0.1089
14.7172,1.9938,2.22,0.0,0.0966
14.7459,1.992,2.2157,0.0,0.0997
14.7726,1.985,2.2136,0.0,0.1175
14.8034,1.9851,2.218,0.0,0.1015
14.8382,1.9909,2.2144,0.0,0.1004
14.848,1.9808,2.2418,0.0,0.0966
14.8744,1.9682,2.2462,0.0,0.0907
14.9037,1.9637,2.2476,0.0,0.0956
14.9372,1.9639,2.2485,0.0,0.1016
14.9716,1.9728,2.2523,0.0,0.1053
15.0056,1.9803,2.2576,0.0,0.1047
15.0377,1.9824,2.262,0.0,0.095
15.0711,1.9817,2.2562,0.0,0.1037
15.1061,1.989,2.262,0.0,0.0962
15.1354,1.9909,2.2717,0.0,0.0974
15.1696,1.9934,2.2725,0.0,0.0837
15.1984,1.9942,2.2716,0.0,0.1007
15.2345,1.9941,2.2782,0.0,0.0928
15.2653,1.9942,2.2804,0.0,0.0941
15.2964,2.001,2.2898,0.0,0.092
15.329,1.9975,2.2922,0.0,0.0899
15.3637,2.0059,2.2986,0.0,0.0905
15.3972,2.0097,2.2939,0.0,0.0987
15.4309,2.0131,2.3002,0.0,0.0909
15.463,2.0142,2.3088,0.0,0.0775
15.4955,2.0214,2.3097,0.0,0.0833
15.5288,2.0223,2.3057,0.0,0.0999
15.5601,2.0259,2.3137,0.0,0.0993
15.5928,2.0331,2.322,0.0,0.0969
15.6273,2.0331,2.3298,0.0,0.0766
15.6621,2.0358,2.3193,0.0,0.1011
15.693,2.0433,2.328,0.0,0.0989
15.7294,2.0425,2.3233,0.0,0.1003
15.7615,2.0494,2.3347,0.0,0.0912
15.7939,2.0525,2.3414,0.0,0.0953
15.8268,2.0548,2.341,0.0,0.0992
15.8585,2.0546,2.3506,0.0,0.0977
15.8893,2.0581,2.3451,0.0,0.1039
15.9238,2.0593,2.3467,0.0,0.0987
15.9559,2.0643,2.3512,0.0,0.0994
15.9907,2.063,2.3512,0.0,0.1
16.0234,2.072,2.3604,0.0,0.0947
16.0559,2.0711,2.3639,0.0,0.0924
16.0901,2.0727,2.3604,0.0,0.1006
16.1193,2.0762,2.3627,0.0,0.099
16.1509,2.0786,2.3656,0.0,0.0949
16.1787,2.075,2.3634,0.0,0.0989
16.211,2.0761,2.3646,0.0,0.1115
16.2458,2.0803,2.3712,0.0,0.0878
16.2802,2.0818,2.3675,0.0,0.1001
16.3115,2.0874,2.373,0.0,0.1029
16.3443,2.0917,2.378,0.0,0.0964
16.3764,2.095,2.3841,0.0,0.0968
16.412,2.0949,2.389,0.0,0.0811
16.4347,2.0941,2.4028,0.0,0.1021
16.4729,2.0925,2.3917,0.0,0.0963
16.507,2.1017,2.3969,0.0,0.0937
16.5302,2.0996,2.4079,0.0,0.1601
16.5608,2.0977,2.4139,0.0,0.117
16.599,2.1091,2.4103,0.0,0.0987
16.6381,2.1077,2.3967,0.0,0.0985
16.6696,2.1154,2.403,0.0,0.1006
16.704,2.1165,2.4054,0.0,0.0945
16.7352,2.1187,2.4053,0.0,0.0935
16.7687,2.1212,2.4125,0.0,0.0899
16.8001,2.1236,2.4112,0.0,0.0991
16.8338,2.128,2.4137,0.0,0.1106
16.8663,2.1323,2.4185,0.0,0.0994
16.9001,2.1318,2.4228,0.0,0.0931
16.9331,2.135,2.4224,0.0,0.1058
16.9669,2.139,2.4259,0.0,0.0951
17.0006,2.1417,2.4291,0.0,0.0992
17.0322,2.1452,2.4335,0.0,0.0937
17.0642,2.1503,2.441,0.0,0.1037
17.0952,2.1501,2.4378,0.0,0.1089
17.1294,2.1542,2.4438,0.0,0.0967
17.1639,2.1554,2.443,0.0,0.103
17.1973,2.158,2.4495,0.0,0.0961
17.232,2.1636,2.4495,0.0,0.1032
17.2658,2.1654,2.4518,0.0,0.1001
17.2955,2.1714,2.4577,0.0,0.1077
17.3299,2.1729,2.4643,0.0,0.0956
17.3618,2.1718,2.468,0.0,0.1009
17.3952,2.1739,2.4658,0.0,0.1066
17.4315,2.1813,2.4701,0.0,0.0955
17.459,2.1855,2.4747,0.0,0.0964
17.4939,2.1852,2.4755,0.0,0.0934
17.5261,2.1906,2.4808,0.0,0.1009
17.5609,2.1916,2.4794,0.0,0.0989
17.5962,2.1969,2.4822,0.0,0.096
17.6281,2.197,2.4886,0.0,0.0899
17.6596,2.2033,2.4943,0.0,0.0965
17.6927,2.2058,2.501,0.0,0.0916
17.7284,2.2073,2.494,0.0,0.1017
17.759,2.2178,2.5059,0.0,0.0946
17.7908,2.2197,2.5095,0.0,0.0991
17.8233,2.2266,2.5286,0.0,0.0852
17.8553,2.232,2.529,0.0,0.1033
17.8896,2.2402,2.5354,0.0,0.0949
17.922,2.2392,2.5382,0.0,0.0936
17.9535,2.2478,2.5732,0.0,0.0958
17.9737,2.2888,2.6144,0.0,0.091
18.005,2.2897,2.6236,0.0,0.0919
18.0358,2.2937,2.6281,0.0,0.1013
18.0685,2.2939,2.638,0.0,0.0995
18.0992,2.2978,2.648,0.0,0.0985
18.1319,2.2954,2.6511,0.0,0.092
18.1635,2.2981,2.6528,0.0,0.095
18.1945,2.3022,2.6578,0.0,0.0864
18.2278,2.2994,2.6558,0.0,0.098
18.2597,2.3057,2.6566,0.0,0.1009
18.2907,2.3081,2.6635,0.0,0.0958
18.3191,2.3132,2.6797,0.0,0.1021
18.3515,2.3116,2.6735,0.0,0.1059
18.3848,2.3174,2.6874,0.0,0.0978
18.4187,2.3176,2.6791,0.0,0.0944
18.4535,2.3219,2.6747,0.0,0.1186
18.4858,2.3263,2.6825,0.0,0.0989
18.5198,2.3328,2.6882,0.0,0.0947
18.5533,2.3308,2.6832,0.0,0.1053
18.5859,2.335,2.6863,0.0,0.1045
18.6166,2.3424,2.6968,0.0,0.0918
18.6517,2.3409,2.6939,0.0,0.097
18.6845,2.3473,2.6987,0.0,0.0911
18.7183,2.3499,2.6996,0.0,0.0974
18.7483,2.353,2.7065,0.0,0.1091
18.7841,2.3545,2.706,0.0,0.0978
18.8143,2.3605,2.7194,0.0,0.1054
18.8514,2.366,2.7137,0.0,0.0937
18.8827,2.3697,2.7207,0.0,0.1005
18.9137,2.3741,2.7201,0.0,0.0965
18.9446,2.3722,2.7252,0.0,0.1
18.9797,2.3799,2.7335,0.0,0.0922
19.011,2.3794,2.7323,0.0,0.105
19.0453,2.3864,2.7376,0.0,0.0978
19.0761,2.3876,2.7408,0.0,0.1119
19.1113,2.3929,2.7473,0.0,0.094
19.1445,2.398,2.7524,0.0,0.0912
19.1747,2.408,2.756,0.0,0.0975
19.2025,2.4082,2.769,0.0,0.1192
19.2301,2.4063,2.7614,0.0,0.1004
19.2631,2.4093,2.7635,0.0,0.0991
19.2971,2.4116,2.7639,0.0,0.1055
19.3301,2.4154,2.7725,0.0,0.1048
19.3633,2.4234,2.7821,0.0,0.0998
19.3945,2.4236,2.7846,0.0,0.0997
19.4315,2.4315,2.7834,0.0,0.1007
19.4607,2.429,2.7913,0.0,0.0992
19.4931,2.431,2.7967,0.0,0.101
19.527,2.4379,2.7992,0.0,0.1044
19.5636,2.4456,2.8011,0.0,0.0939
19.5961,2.4505,2.805,0.0,0.0963
19.629,2.4525,2.8097,0.0,0.0976
19.6628,2.455,2.8094,0.0,0.1034
19.6958,2.4608,2.8207,0.0,0.0916
19.7258,2.4634,2.8289,0.0,0.0929
19.7609,2.4677,2.8262,0.0,0.0917
19.7932,2.4718,2.8284,0.0,0.0935
19.8265,2.4757,2.83,0.0,0.0978
19.8578,2.4794,2.8394,0.0,0.0868
19.8902,2.483,2.8452,0.0,0.0979
19.9229,2.4848,2.8426,0.0,0.1017
19.96,2.4913,2.8465,0.0,0.0896
19.9916,2.493,2.8481,0.0,0.1002
20.0225,2.4986,2.8566,0.0,0.0976
20.0582,2.5006,2.8547,0.0,0.0983
20.089,2.5048,2.8637,0.0,0.0959
20.1229,2.5064,2.8607,0.0,0.1004
20.1559,2.5144,2.8745,0.0,0.0874
20.1879,2.5153,2.8734,0.0,0.0974
