#Recording frequency [Hz],100,, 
#Number of samples,3633,, 
#pos [mm],vel [mm/s],acc [m/s2], Time in recording [s] 
15.5759,-91.2771,0.646479,6.51
14.6985,-83.9,0.828945,6.52
13.9027,-75.1005,0.930969,6.53
13.1996,-65.3689,1.015335,6.54
12.5963,-55.3235,0.993753,6.55
12.09,-46.21,0.828945,6.56
11.6659,-38.9751,0.61803,6.57
11.3063,-33.0107,0.574866,6.58
11.0061,-26.9088,0.645498,6.59
10.7701,-20.2037,0.695529,6.6
10.6026,-13.3269,0.679833,6.61
10.5022,-6.8817,0.609201,6.62
10.4625,-1.1821,0.530721,6.63
10.4764,3.8848,0.482652,6.64
10.5392,8.6671,0.473823,6.65
10.6502,13.5868,0.51012,6.66
10.8127,19.0118,0.574866,6.67
11.0323,24.9959,0.621954,6.68
11.3136,31.2988,0.638631,6.69
11.6589,37.7881,0.659232,6.7
12.07,44.4589,0.674928,6.71
12.5479,51.0807,0.649422,6.72
13.0896,57.0844,0.551322,6.73
13.6847,61.6215,0.356103,6.74
14.3153,64.1623,0.152055,6.75
14.9619,64.8882,-0.006867,6.76
15.6073,63.8729,-0.1962,6.77
16.233,60.9593,-0.386514,6.78
16.8221,56.7165,-0.462051,6.79
17.3662,52.1254,-0.456165,6.8
17.8652,47.7306,-0.422811,6.81
18.322,43.6839,-0.386514,6.82
18.7398,39.9071,-0.368856,6.83
19.1204,36.2234,-0.367875,6.84
19.4637,32.3583,-0.405153,6.85
