         time Record_Dis... 
 1.746634e-01 -2.505191e-03 
 1.750673e-01 -2.505931e-03 
 1.754711e-01 -2.506532e-03 
 1.758750e-01 -2.506992e-03 
 1.762788e-01 -2.507313e-03 
 1.766827e-01 -2.507496e-03 
 1.770865e-01 -2.507545e-03 
 1.774904e-01 -2.507461e-03 
 1.778942e-01 -2.507248e-03 
 1.782980e-01 -2.506910e-03 
 1.787019e-01 -2.506451e-03 
 1.791057e-01 -2.505875e-03 
 1.795096e-01 -2.505189e-03 
 1.799134e-01 -2.504397e-03 
 1.803173e-01 -2.503506e-03 
 1.807211e-01 -2.502524e-03 
 1.811250e-01 -2.501456e-03 
 1.815288e-01 -2.500310e-03 
 1.819327e-01 -2.499091e-03 
 1.823365e-01 -2.497805e-03 
 1.827404e-01 -2.496456e-03 
 1.831442e-01 -2.495049e-03 
 1.835480e-01 -2.493587e-03 
 1.839519e-01 -2.492075e-03 
 1.843557e-01 -2.490514e-03 
 1.847596e-01 -2.488907e-03 
 1.851634e-01 -2.487254e-03 
 1.855673e-01 -2.485557e-03 
 1.859711e-01 -2.483816e-03 
 1.863750e-01 -2.482030e-03 
 1.867788e-01 -2.480195e-03 
 1.871827e-01 -2.478308e-03 
 1.875865e-01 -2.476366e-03 
 1.879904e-01 -2.474364e-03 
 1.883942e-01 -2.472297e-03 
 1.887980e-01 -2.470160e-03 
 1.892019e-01 -2.467946e-03 
 1.896057e-01 -2.465652e-03 
 1.900096e-01 -2.463274e-03 
 1.904134e-01 -2.460807e-03 
 1.908173e-01 -2.458248e-03 
 1.912211e-01 -2.455595e-03 
 1.916250e-01 -2.452844e-03 
 1.920288e-01 -2.449994e-03 
 1.924327e-01 -2.447044e-03 
 1.928365e-01 -2.443994e-03 
 1.932404e-01 -2.440845e-03 
 1.936442e-01 -2.437600e-03 
 1.940480e-01 -2.434261e-03 
 1.944519e-01 -2.430835e-03 
 1.948557e-01 -2.427328e-03 
 1.952596e-01 -2.423743e-03 
 1.956634e-01 -2.420089e-03 
 1.960673e-01 -2.416369e-03 
 1.964711e-01 -2.412589e-03 
 1.968750e-01 -2.408754e-03 
 1.972788e-01 -2.404869e-03 
 1.976827e-01 -2.400939e-03 
 1.980865e-01 -2.396966e-03 
 1.984904e-01 -2.392955e-03 
 1.988942e-01 -2.388908e-03 
 1.992980e-01 -2.384829e-03 
 1.997019e-01 -2.380718e-03 
 2.001057e-01 -2.376576e-03 
 2.005096e-01 -2.372404e-03 
 2.009134e-01 -2.368202e-03 
