         time Mid_Disp()... 
 1.406812e-01  3.410963e-04 
 1.409993e-01  3.613126e-04 
 1.413174e-01  3.814007e-04 
 1.416354e-01  4.013663e-04 
 1.419535e-01  4.212108e-04 
 1.422716e-01  4.409167e-04 
 1.425896e-01  4.604705e-04 
 1.429077e-01  4.798567e-04 
 1.432258e-01  4.990629e-04 
 1.435438e-01  5.180951e-04 
 1.438619e-01  5.369563e-04 
 1.441800e-01  5.556472e-04 
 1.444980e-01  5.741536e-04 
 1.448161e-01  5.924571e-04 
 1.451342e-01  6.105529e-04 
 1.454522e-01  6.284438e-04 
 1.457703e-01  6.461371e-04 
 1.460884e-01  6.636376e-04 
 1.464064e-01  6.809541e-04 
 1.467245e-01  6.980884e-04 
 1.470426e-01  7.150381e-04 
 1.473607e-01  7.318096e-04 
 1.476787e-01  7.484104e-04 
 1.479968e-01  7.648431e-04 
 1.483149e-01  7.811036e-04 
 1.486329e-01  7.971714e-04 
 1.489510e-01  8.130366e-04 
 1.492691e-01  8.286999e-04 
 1.495871e-01  8.441740e-04 
 1.499052e-01  8.594701e-04 
 1.502233e-01  8.745827e-04 
 1.505413e-01  8.894939e-04 
 1.508594e-01  9.042053e-04 
 1.511775e-01  9.187251e-04 
 1.514955e-01  9.330560e-04 
 1.518136e-01  9.472008e-04 
 1.521317e-01  9.611488e-04 
 1.524497e-01  9.748854e-04 
 1.527678e-01  9.884005e-04 
 1.530859e-01  1.001686e-03 
 1.534039e-01  1.014737e-03 
 1.537220e-01  1.027556e-03 
 1.540401e-01  1.040135e-03 
 1.543581e-01  1.052455e-03 
 1.546762e-01  1.064503e-03 
 1.549943e-01  1.076279e-03 
 1.553123e-01  1.087792e-03 
 1.556304e-01  1.099053e-03 
 1.559485e-01  1.110066e-03 
 1.562665e-01  1.120821e-03 
 1.565846e-01  1.131300e-03 
 1.569027e-01  1.141482e-03 
 1.572207e-01  1.151355e-03 
 1.575388e-01  1.160916e-03 
 1.578569e-01  1.170158e-03 
 1.581749e-01  1.179071e-03 
 1.584930e-01  1.187638e-03 
 1.588111e-01  1.195846e-03 
 1.591291e-01  1.203691e-03 
 1.594472e-01  1.211174e-03 
 1.597653e-01  1.218288e-03 
 1.600833e-01  1.225012e-03 
 1.604014e-01  1.231319e-03 
 1.607195e-01  1.237197e-03 
 1.610376e-01  1.242648e-03 
 1.613556e-01  1.247673e-03 
 1.616737e-01  1.252260e-03 
 1.619918e-01  1.256403e-03 
 1.623098e-01  1.260089e-03 
 1.626279e-01  1.263310e-03 
 1.629460e-01  1.266065e-03 
 1.632640e-01  1.268353e-03 
 1.635821e-01  1.270172e-03 
 1.639002e-01  1.271523e-03 
 1.642182e-01  1.272396e-03 
 1.645363e-01  1.272788e-03 
 1.648544e-01  1.272711e-03 
 1.651724e-01  1.272188e-03 
 1.654905e-01  1.271229e-03 
 1.658086e-01  1.269841e-03 
 1.661266e-01  1.268015e-03 
 1.664447e-01  1.265738e-03 
 1.667628e-01  1.263011e-03 
 1.670808e-01  1.259844e-03 
 1.673989e-01  1.256258e-03 
 1.677170e-01  1.252257e-03 
 1.680350e-01  1.247843e-03 
 1.683531e-01  1.243020e-03 
 1.686712e-01  1.237787e-03 
 1.689892e-01  1.232155e-03 
 1.693073e-01  1.226137e-03 
 1.696254e-01  1.219740e-03 
 1.699434e-01  1.212957e-03 
 1.702615e-01  1.205782e-03 
 1.705796e-01  1.198221e-03 
 1.708976e-01  1.190289e-03 
 1.712157e-01  1.181999e-03 
 1.715338e-01  1.173356e-03 
 1.718518e-01  1.164355e-03 
 1.721699e-01  1.155000e-03 
 1.724880e-01  1.145292e-03 
 1.728060e-01  1.135242e-03 
 1.731241e-01  1.124872e-03 
 1.734422e-01  1.114193e-03 
 1.737602e-01  1.103219e-03 
 1.740783e-01  1.091956e-03 
 1.743964e-01  1.080403e-03 
 1.747145e-01  1.068569e-03 
 1.750325e-01  1.056465e-03 
 1.753506e-01  1.044094e-03 
 1.756687e-01  1.031447e-03 
 1.759867e-01  1.018514e-03 
 1.763048e-01  1.005290e-03 
 1.766229e-01  9.917815e-04 
 1.769409e-01  9.780082e-04 
 1.772590e-01  9.639879e-04 
 1.775771e-01  9.497225e-04 
 1.778951e-01  9.352094e-04 
 1.782132e-01  9.204521e-04 
 1.785313e-01  9.054521e-04 
 1.788493e-01  8.902120e-04 
 1.791674e-01  8.747372e-04 
 1.794855e-01  8.590297e-04 
 1.798035e-01  8.430816e-04 
 1.801216e-01  8.268886e-04 
 1.804397e-01  8.104597e-04 
 1.807577e-01  7.938077e-04 
 1.810758e-01  7.769409e-04 
 1.813939e-01  7.598603e-04 
 1.817119e-01  7.425610e-04 
 1.820300e-01  7.250441e-04 
 1.823481e-01  7.073159e-04 
 1.826661e-01  6.893874e-04 
 1.829842e-01  6.712748e-04 
 1.833023e-01  6.529889e-04 
 1.836203e-01  6.345291e-04 
 1.839384e-01  6.158922e-04 
 1.842565e-01  5.970779e-04 
