Velocity, Vel [m/s]
2.03910000,-0.0637811593622346
2.04300000,-0.0761235761692572
2.04690000,-0.0876493397531481
2.05080000,-0.0986012225896012
2.05470000,-0.1092140151006605
2.05860000,-0.1197209333325469
2.06250000,-0.1302437039266199
2.06640000,-0.1407902484745675
2.07030000,-0.1512483699816556
2.07420000,-0.1612968629051666
2.07810000,-0.1707228487477709
2.08210000,-0.1792502349084933
2.08600000,-0.1863894126704102
2.08990000,-0.1920818324067853
2.09380000,-0.1965115716408828
2.09770000,-0.1998703187474987
2.10160000,-0.2025849034911779
2.10550000,-0.2051326377571376
2.10940000,-0.2079405953923308
2.11330000,-0.2113102934454935
2.11720000,-0.2153275055988518
2.12110000,-0.2198877094142244
2.12500000,-0.2247150595939969
2.12890000,-0.2294221469516123
2.13280000,-0.2335750664496890
2.13670000,-0.2367601097701499
2.14060000,-0.2386713068957507
2.14460000,-0.2391448006016647
2.14850000,-0.2381641171692696
2.15240000,-0.2358792813316325
2.15630000,-0.2325557262068767
2.16020000,-0.2285036334779817
2.16410000,-0.2240234390575707
2.16800000,-0.2193402088281148
2.17190000,-0.2145837781727805
2.17580000,-0.2098198286926259
2.17970000,-0.2051047163293722
2.18360000,-0.2005229111237045
2.18750000,-0.1961972974063880
2.19140000,-0.1922730482753713
2.19530000,-0.1888995737470121
2.19920000,-0.1862263393596585
2.20310000,-0.1843459487672365
2.20710000,-0.1832943362502324
2.21100000,-0.1830538307419315
2.21490000,-0.1834688666738588
2.21880000,-0.1842808801399378
2.22270000,-0.1851796001885848
2.22660000,-0.1858156691772857
2.23050000,-0.1858883383116888
2.23440000,-0.1852357496281601
2.23830000,-0.1839052512987902
2.24220000,-0.1821621433633359
2.24610000,-0.1804391781441844
2.25000000,-0.1792126719161479
2.25390000,-0.1789022156678561
2.25780000,-0.1797966741562555
2.26170000,-0.1819640658733186
2.26560000,-0.1853720963776428
2.26960000,-0.1897771978577679
2.27350000,-0.1946526083591228
2.27740000,-0.1995591940666952
2.28130000,-0.2041265164132498
2.28520000,-0.2080147749140733
2.28910000,-0.2110992958442955
2.29300000,-0.2134334822227464
2.29690000,-0.2152303691518158
2.30080000,-0.2168132085738408
2.30470000,-0.2185029670798434
2.30860000,-0.2205309618017991
2.31250000,-0.2229600276476399
