         time tiltx_up_s... 
 2.075769e-01  1.246921e-02 
 2.079807e-01  1.261514e-02 
 2.083846e-01  1.265252e-02 
 2.087884e-01  1.258060e-02 
 2.091923e-01  1.239539e-02 
 2.095961e-01  1.210807e-02 
 2.100000e-01  1.172204e-02 
 2.104038e-01  1.126397e-02 
 2.108077e-01  1.073322e-02 
 2.112115e-01  1.013254e-02 
 2.116153e-01  9.467707e-03 
 2.120192e-01  8.748335e-03 
 2.124230e-01  7.982151e-03 
 2.128269e-01  7.211878e-03 
 2.132307e-01  6.460299e-03 
 2.136346e-01  5.750068e-03 
 2.140384e-01  5.084474e-03 
 2.144423e-01  4.459000e-03 
 2.148461e-01  3.890934e-03 
 2.152500e-01  3.352944e-03 
 2.156538e-01  2.885074e-03 
 2.160577e-01  2.474902e-03 
 2.164615e-01  2.130740e-03 
 2.168653e-01  1.843790e-03 
 2.172692e-01  1.601779e-03 
 2.176730e-01  1.404067e-03 
 2.180769e-01  1.221827e-03 
 2.184807e-01  1.059799e-03 
 2.188846e-01  9.105628e-04 
 2.192884e-01  7.444946e-04 
 2.196923e-01  5.392229e-04 
 2.200961e-01  2.656646e-04 
 2.205000e-01 -7.616899e-05 
 2.209038e-01 -4.778048e-04 
 2.213077e-01 -9.611802e-04 
 2.217115e-01 -1.514536e-03 
 2.221153e-01 -2.139953e-03 
 2.225192e-01 -2.841019e-03 
 2.229230e-01 -3.622882e-03 
 2.233269e-01 -4.489960e-03 
 2.237307e-01 -5.440919e-03 
 2.241346e-01 -6.446140e-03 
 2.245384e-01 -7.487238e-03 
 2.249423e-01 -8.564703e-03 
 2.253461e-01 -9.666422e-03 
 2.257500e-01 -1.079216e-02 
 2.261538e-01 -1.193347e-02 
 2.265577e-01 -1.306913e-02 
 2.269615e-01 -1.417241e-02 
 2.273653e-01 -1.522535e-02 
 2.277692e-01 -1.620651e-02 
 2.281730e-01 -1.710043e-02 
 2.285769e-01 -1.791493e-02 
 2.289807e-01 -1.864278e-02 
 2.293846e-01 -1.933865e-02 
 2.297884e-01 -1.999145e-02 
 2.301923e-01 -2.058933e-02 
 2.305961e-01 -2.114269e-02 
 2.310000e-01 -2.163964e-02 
 2.314038e-01 -2.207259e-02 
 2.318077e-01 -2.247398e-02 
 2.322115e-01 -2.282837e-02 
 2.326153e-01 -2.314180e-02 
 2.330192e-01 -2.341947e-02 
 2.334230e-01 -2.367918e-02 
 2.338269e-01 -2.392466e-02 
 2.342307e-01 -2.417350e-02 
 2.346346e-01 -2.440810e-02 
 2.350384e-01 -2.461189e-02 
 2.354423e-01 -2.481165e-02 
 2.358461e-01 -2.500732e-02 
 2.362500e-01 -2.521874e-02 
 2.366538e-01 -2.547449e-02 
 2.370577e-01 -2.577570e-02 
 2.374615e-01 -2.611356e-02 
 2.378653e-01 -2.648067e-02 
 2.382692e-01 -2.685491e-02 
 2.386730e-01 -2.724503e-02 
 2.390769e-01 -2.764517e-02 
 2.394807e-01 -2.807836e-02 
 2.398846e-01 -2.857528e-02 
 2.402884e-01 -2.909560e-02 
 2.406923e-01 -2.964893e-02 
 2.410961e-01 -3.019982e-02 
 2.415000e-01 -3.072203e-02 
 2.419038e-01 -3.119003e-02 
 2.423077e-01 -3.158714e-02 
 2.427115e-01 -3.190002e-02 
 2.431153e-01 -3.210048e-02 
 2.435192e-01 -3.216696e-02 
 2.439230e-01 -3.209266e-02 
 2.443269e-01 -3.188491e-02 
 2.447307e-01 -3.153210e-02 
