         time tiltx_low_... 
 1.611346e-01 -4.897939e-02 
 1.615384e-01 -4.870674e-02 
 1.619423e-01 -4.858663e-02 
 1.623461e-01 -4.857960e-02 
 1.627500e-01 -4.865990e-02 
 1.631538e-01 -4.878402e-02 
 1.635577e-01 -4.894144e-02 
 1.639615e-01 -4.908816e-02 
 1.643654e-01 -4.920340e-02 
 1.647692e-01 -4.927668e-02 
 1.651730e-01 -4.926400e-02 
 1.655769e-01 -4.914557e-02 
 1.659807e-01 -4.890548e-02 
 1.663846e-01 -4.851861e-02 
 1.667884e-01 -4.793249e-02 
 1.671923e-01 -4.716459e-02 
 1.675961e-01 -4.620322e-02 
 1.680000e-01 -4.507112e-02 
 1.684038e-01 -4.377969e-02 
 1.688077e-01 -4.237208e-02 
 1.692115e-01 -4.086910e-02 
 1.696154e-01 -3.931030e-02 
 1.700192e-01 -3.774470e-02 
 1.704230e-01 -3.618034e-02 
 1.708269e-01 -3.464595e-02 
 1.712307e-01 -3.314044e-02 
 1.716346e-01 -3.164585e-02 
 1.720384e-01 -3.016822e-02 
 1.724423e-01 -2.869169e-02 
 1.728461e-01 -2.717774e-02 
 1.732500e-01 -2.559264e-02 
 1.736538e-01 -2.388654e-02 
 1.740577e-01 -2.204120e-02 
 1.744615e-01 -2.002518e-02 
 1.748654e-01 -1.782022e-02 
 1.752692e-01 -1.541861e-02 
 1.756730e-01 -1.281724e-02 
 1.760769e-01 -1.003916e-02 
 1.764807e-01 -7.107593e-03 
 1.768846e-01 -4.045539e-03 
 1.772884e-01 -8.894031e-04 
 1.776923e-01  2.336217e-03 
 1.780961e-01  5.622287e-03 
 1.785000e-01  8.944820e-03 
 1.789038e-01  1.228698e-02 
 1.793077e-01  1.561527e-02 
 1.797115e-01  1.890857e-02 
 1.801154e-01  2.214290e-02 
 1.805192e-01  2.529765e-02 
 1.809230e-01  2.837574e-02 
 1.813269e-01  3.139875e-02 
 1.817307e-01  3.439741e-02 
 1.821346e-01  3.736895e-02 
 1.825384e-01  4.034809e-02 
 1.829423e-01  4.334636e-02 
 1.833461e-01  4.636851e-02 
 1.837500e-01  4.942970e-02 
 1.841538e-01  5.253068e-02 
 1.845577e-01  5.567245e-02 
 1.849615e-01  5.884022e-02 
 1.853654e-01  6.202426e-02 
 1.857692e-01  6.519273e-02 
 1.861730e-01  6.832431e-02 
 1.865769e-01  7.138436e-02 
 1.869807e-01  7.434002e-02 
 1.873846e-01  7.714306e-02 
 1.877884e-01  7.979545e-02 
 1.881923e-01  8.230366e-02 
 1.885961e-01  8.466915e-02 
 1.890000e-01  8.690535e-02 
 1.894038e-01  8.899544e-02 
 1.898077e-01  9.092100e-02 
 1.902115e-01  9.267008e-02 
