time;sensor1 tvalx;sensor1 tminx;sensor1 tmaxx;sensor1 tvaly;sensor1 tminy;sensor1 tmaxy;sensor1 avalx1;sensor1 aminx1;sensor1 amaxx1;sensor1 avaly1;sensor1 aminy1;sensor1 amaxy1;sensor1 avalz1;sensor1 aminz1;sensor1 amaxz1;sensor1 avalx2;sensor1 aminx2;sensor1 amaxx2;sensor1 avaly2;sensor1 aminy2;sensor1 amaxy2;sensor1 avalz2;sensor1 aminz2;sensor1 amaxz2
04-01-2021_12:10:50;-14,0;-19,0;-10,0;-47,0;-60,0;-37,0;212,0;-150,0;575,0;335,0;96,0;586,0;16621,0;16157,0;17142,0;-10,0;-281,0;267,0;419,0;275,0;563,0;16590,0;16333,0;16886,0
04-01-2021_12:10:55;-14,0;-21,0;-8,0;-49,0;-60,0;-34,0;215,0;-97,0;548,0;334,0;79,0;551,0;16617,0;16200,0;17082,0;-13,0;-333,0;236,0;419,0;274,0;577,0;16588,0;16353,0;16917,0
04-01-2021_12:11:00;-15,0;-20,0;-10,0;-50,0;-64,0;-37,0;216,0;-153,0;552,0;331,0;92,0;611,0;16618,0;16232,0;17032,0;-12,0;-268,0;243,0;420,0;257,0;580,0;16590,0;16309,0;16879,0
04-01-2021_12:11:05;-14,0;-21,0;-8,0;-54,0;-195,0;160,0;216,0;-117,0;553,0;331,0;43,0;594,0;16617,0;16170,0;17139,0;-10,0;-277,0;243,0;418,0;259,0;579,0;16592,0;16326,0;16913,0
04-01-2021_12:11:10;-14,0;-22,0;-9,0;-55,0;-66,0;-42,0;216,0;-123,0;600,0;332,0;114,0;576,0;16621,0;16174,0;17118,0;-10,0;-263,0;239,0;420,0;266,0;576,0;16591,0;16321,0;16940,0
04-01-2021_12:11:15;-14,0;-21,0;-9,0;-56,0;-69,0;-45,0;217,0;-217,0;552,0;330,0;89,0;531,0;16619,0;16210,0;17172,0;-8,0;-277,0;228,0;420,0;289,0;556,0;16591,0;16288,0;16849,0
04-01-2021_12:11:20;-14,0;-22,0;-7,0;-58,0;-72,0;-42,0;214,0;-139,0;572,0;332,0;34,0;547,0;16616,0;16121,0;17116,0;-11,0;-260,0;253,0;420,0;278,0;577,0;16592,0;16329,0;16903,0
04-01-2021_12:11:25;-15,0;-22,0;-10,0;-58,0;-73,0;-44,0;216,0;-145,0;568,0;331,0;86,0;547,0;16622,0;16230,0;17128,0;-9,0;-330,0;222,0;419,0;280,0;566,0;16591,0;16342,0;16864,0
04-01-2021_12:11:30;-15,0;-20,0;-11,0;-60,0;-74,0;-49,0;216,0;-107,0;531,0;333,0;101,0;573,0;16614,0;16222,0;17043,0;-10,0;-279,0;250,0;420,0;290,0;568,0;16590,0;16273,0;16863,0
04-01-2021_12:11:35;-15,0;-22,0;-6,0;-61,0;-75,0;-48,0;214,0;-167,0;541,0;329,0;52,0;579,0;16616,0;16212,0;17132,0;-10,0;-324,0;217,0;419,0;285,0;580,0;16592,0;16339,0;16881,0
04-01-2021_12:11:40;-15,0;-24,0;-7,0;-62,0;-76,0;-49,0;210,0;-101,0;559,0;330,0;100,0;539,0;16613,0;16217,0;17123,0;-11,0;-274,0;261,0;419,0;232,0;565,0;16593,0;16347,0;16848,0
04-01-2021_12:11:45;-15,0;-21,0;-8,0;-64,0;-77,0;-50,0;213,0;-119,0;550,0;331,0;83,0;619,0;16617,0;16228,0;17112,0;-10,0;-284,0;227,0;418,0;273,0;551,0;16593,0;16323,0;16925,0
04-01-2021_12:11:50;-15,0;-21,0;-12,0;-64,0;-78,0;-52,0;215,0;-140,0;552,0;331,0;84,0;559,0;16615,0;16222,0;17118,0;-15,0;-289,0;232,0;419,0;273,0;560,0;16590,0;16308,0;16928,0
04-01-2021_12:11:55;-15,0;-20,0;-11,0;-66,0;-87,0;-49,0;216,0;-142,0;545,0;330,0;90,0;557,0;16617,0;16217,0;17093,0;-12,0;-269,0;242,0;419,0;280,0;565,0;16590,0;16256,0;16889,0
04-01-2021_12:12:00;-15,0;-21,0;-9,0;-67,0;-85,0;-52,0;217,0;-180,0;573,0;330,0;75,0;577,0;16614,0;16173,0;17097,0;-12,0;-289,0;220,0;419,0;283,0;562,0;16595,0;16317,0;16940,0
04-01-2021_12:12:05;-15,0;-22,0;-11,0;-69,0;-82,0;-57,0;210,0;-120,0;547,0;330,0;73,0;580,0;16618,0;16163,0;17153,0;-12,0;-299,0;246,0;422,0;291,0;568,0;16589,0;16331,0;16937,0
