         time tiltx_low_... 
 7.584230e-01 -6.197448e-02 
 7.588268e-01 -6.362476e-02 
 7.592306e-01 -6.508149e-02 
 7.596345e-01 -6.623799e-02 
 7.600383e-01 -6.706507e-02 
 7.604422e-01 -6.753856e-02 
 7.608460e-01 -6.769020e-02 
 7.612499e-01 -6.751576e-02 
 7.616537e-01 -6.705589e-02 
 7.620576e-01 -6.635365e-02 
 7.624614e-01 -6.543463e-02 
 7.628653e-01 -6.436625e-02 
 7.632691e-01 -6.325276e-02 
 7.636730e-01 -6.212937e-02 
 7.640768e-01 -6.099614e-02 
 7.644806e-01 -5.988270e-02 
 7.648845e-01 -5.875267e-02 
 7.652883e-01 -5.758728e-02 
 7.656922e-01 -5.641450e-02 
 7.660960e-01 -5.523945e-02 
 7.664999e-01 -5.401888e-02 
 7.669037e-01 -5.275375e-02 
 7.673076e-01 -5.144682e-02 
 7.677114e-01 -5.015425e-02 
 7.681153e-01 -4.892835e-02 
 7.685191e-01 -4.780250e-02 
 7.689229e-01 -4.677662e-02 
 7.693268e-01 -4.572377e-02 
 7.697306e-01 -4.458716e-02 
 7.701345e-01 -4.331555e-02 
 7.705383e-01 -4.189593e-02 
 7.709422e-01 -4.031326e-02 
 7.713460e-01 -3.857191e-02 
 7.717499e-01 -3.661388e-02 
 7.721537e-01 -3.443123e-02 
 7.725576e-01 -3.212646e-02 
 7.729614e-01 -2.976653e-02 
 7.733653e-01 -2.741622e-02 
 7.737691e-01 -2.512061e-02 
 7.741729e-01 -2.285911e-02 
 7.745768e-01 -2.061327e-02 
 7.749806e-01 -1.841148e-02 
 7.753845e-01 -1.626468e-02 
 7.757883e-01 -1.417358e-02 
 7.761922e-01 -1.214525e-02 
 7.765960e-01 -1.016902e-02 
 7.769999e-01 -8.273129e-03 
 7.774037e-01 -6.496547e-03 
 7.778076e-01 -4.843110e-03 
 7.782114e-01 -3.282147e-03 
 7.786153e-01 -1.732389e-03 
 7.790191e-01 -1.102728e-04 
 7.794229e-01  1.600385e-03 
 7.798268e-01  3.387206e-03 
 7.802306e-01  5.176595e-03 
 7.806345e-01  6.907994e-03 
 7.810383e-01  8.527106e-03 
 7.814422e-01  9.991683e-03 
 7.818460e-01  1.124506e-02 
 7.822499e-01  1.220393e-02 
 7.826537e-01  1.278384e-02 
 7.830576e-01  1.294339e-02 
 7.834614e-01  1.264994e-02 
 7.838653e-01  1.192497e-02 
 7.842691e-01  1.081326e-02 
 7.846729e-01  9.360588e-03 
 7.850768e-01  7.639064e-03 
 7.854806e-01  5.741653e-03 
 7.858845e-01  3.767308e-03 
 7.862883e-01  1.763274e-03 
 7.866922e-01 -2.108116e-04 
 7.870960e-01 -2.155305e-03 
 7.874999e-01 -4.080871e-03 
 7.879037e-01 -5.999531e-03 
 7.883076e-01 -7.927887e-03 
 7.887114e-01 -9.853845e-03 
 7.891153e-01 -1.179054e-02 
 7.895191e-01 -1.371373e-02 
 7.899229e-01 -1.559900e-02 
 7.903268e-01 -1.741735e-02 
 7.907306e-01 -1.912332e-02 
 7.911345e-01 -2.065936e-02 
 7.915383e-01 -2.195354e-02 
